title,author,year,datasets_bridged,num_datasets
NeuralBench: A Unifying Framework to Benchmark NeuroAI Models,"Hubert J. Banville, Stéphane d’Ascoli, Simon Dahan, Jérémy Rapin, Marlène Careil, Yohann Benchetrit, Jarod Lévy, S. Panchavati, Antoine Ratouchniak, Mingfang Zhang, Elisa Cascardi, K. Begany, Teon L Brooks, Jean-Rémi King",2026,"nm000112,nm000115,nm000123,nm000132,nm000139,nm000144,nm000158,nm000162,nm000171,nm000178,nm000180,nm000188,nm000192,nm000193,nm000196,nm000199,nm000206,nm000212,nm000214,nm000215,nm000216,nm000219,nm000236,nm000239,nm000244,nm000250,nm000339,nm000343,on005505,on005506,on005507,on005508,on005509,on005510,on005511,on005512,on005514,on005515,on005516,on007523,on007524",41
"REVE: A Foundation Model for EEG - Adapting to Any Setup with Large-Scale Pretraining on 25,000 Subjects","Yassine El Ouahidi, Jonathan Lys, Philipp Thölke, Nicolas Farrugia, B. Pasdeloup, Vincent Gripon, Karim Jerbi, Giulia Lioi",2025,"nm000109,nm000111,nm000112,nm000114,nm000115,nm000118,nm000135,nm000140,nm000144,nm000158,nm000169,nm000173,nm000184,nm000188,nm000189,nm000215,nm000216,nm000233,nm000244,nm000245,nm000250,nm000267,nm000268,on003885,on004902,on005505,on005506,on005507,on005508,on005509,on005510,on005511,on005512,on005514,on005515,on005516",36
Review of public motor imagery and execution datasets in brain-computer interfaces,"Daeun Gwon, Kyungho Won, Minseok Song, Chang S. Nam, Sung Chan Jun, Minkyu Ahn",2023,"nm000115,nm000125,nm000137,nm000140,nm000151,nm000152,nm000167,nm000173,nm000178,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000245,nm000247,nm000267,nm000268,nm000273,nm000311,nm000323,nm000336,nm000338,nm000339,on002778,on005406,on005857,on006126,on007262,on007895",31
"M3CV: A multi-subject, multi-session, and multi-task database for EEG-based biometrics challenge","Gan Huang, Zhenxing Hu, Weize Chen, Shaorong Zhang, Zhen Liang, Linling Li, Li Zhang, Zhiguo Zhang",2022,"nm000125,nm000132,nm000151,nm000152,nm000153,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000245,nm000247,nm000273,nm000311,nm000323,nm000336,nm000338,on002778,on005406,on005857,on006126,on007052,on007056,on007069,on007096,on007137,on007139,on007262,on007895",30
An EEG motor imagery dataset for brain computer interface in acute stroke patients,"Haijie Liu, Penghu Wei, Haochong Wang, Xiaodong Lv, Wei Duan, Meijie Li, Yan Zhao, Qingmei Wang, Xinyuan Chen, Gaige Shi, Bo Han, Junwei Hao",2024,"nm000125,nm000137,nm000151,nm000152,nm000158,nm000167,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000245,nm000247,nm000267,nm000268,nm000273,nm000323,nm000329,nm000336,nm000338,on002778,on005406,on005857,on006126,on007262,on007895",27
"Addressing BCI inefficiency in c-VEP-based BCIs: A comprehensive study of neurophysiological predictors, binary stimulus sequences, and user comfort",Jordy Thielen,2025,"nm000110,nm000113,nm000125,nm000152,nm000163,nm000188,nm000196,nm000201,nm000212,nm000214,nm000216,nm000221,nm000239,nm000244,nm000247,nm000336,nm000342,nm000344,nm000345,nm000346,on004100,on005261,on006126,on007262,on007895",25
SingLEM: Single-Channel Large EEG Model,"Jamiyan Sukhbaatar, S. Imamura, Ibuki Inoue, Shoya Murakami, Kazi Mahmudul Hassan, Seungwoo Han, Ingon Chanpornpakdi, Toshihisa Tanaka",2025,"nm000112,nm000130,nm000158,nm000206,nm000246,nm000250,nm000254,nm000270,nm000329,nm000339,nm000343,nm000348,on003505,on003626,on003838,on004196,on004444,on004446,on004447,on004448,on004796,on004902,on004952,on005106,on005811",25
Open and reproducible neuroimaging: From study inception to publication,"Guiomar Niso, Rotem Botvinik‐Nezer, Stefan Appelhoff, Alejandro de la Vega, Oscar Estéban, Joset A. Etzel, Karolina Finc, Melanie Ganz, Rémi Gau, Yaroslav O. Halchenko, Peer Herholz, Agâh Karakuzu, David B. Keator, Christopher J. Markiewicz, Camille Maumet, Cyril Pernet, Franco Pestilli, Nazek Queder, Tina Schmitt, Weronika Sójka, Adina Wagner, Kirstie Whitaker, Jochem W. Rieger",2022,"nm000113,nm000132,nm000151,nm000152,nm000188,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on002778,on003645,on005261,on005406,on005624,on005857,on006126,on007052,on007056,on007069,on007096,on007137,on007262,on007895",25
An open dataset for human SSVEPs in the frequency range of 1-60 Hz,"Meng Gu, Weihua Pei, Xiaorong Gao, Yijun Wang",2024,"nm000125,nm000126,nm000129,nm000130,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000273,nm000323,nm000336,nm000338,on002778,on005406,on005857,on006126,on007262,on007895",23
A reusable benchmark of brain-age prediction from M/EEG resting-state signals,"Denis A. Engemann, Apolline Mellot, Richard Höchenberger, Hubert Banville, David Sabbagh, Lukas Gemein, Tonio Ball, Alexandre Gramfort",2022,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000179,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on002778,on004100,on005261,on005406,on005857,on006126,on007262,on007895",23
"DISCOVER-EEG: an open, fully automated EEG pipeline for biomarker discovery in clinical neuroscience","Cristina Gil Ávila, Felix S. Bott, Laura Tiemann, Vanessa D. Hohn, Elisabeth S. May, Moritz M. Nickel, Paul Theo Zebhauser, Joachim Groß, Markus Ploner",2023,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000179,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on002778,on004100,on005261,on005406,on005857,on006126,on007262,on007895",23
BIDScoin: A User-Friendly Application to Convert Source Data to Brain Imaging Data Structure,"Marcel P. Zwiers, Stefano Moia, Robert Oostenveld",2022,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on002778,on004100,on005261,on005406,on005624,on005857,on006126,on007262,on007895",23
"The past, present, and future of the brain imaging data structure (BIDS)","Russell A. Poldrack, Christopher J. Markiewicz, Stefan Appelhoff, Yoni K. Ashar, Tibor Auer, Sylvain Baillet, Shashank Bansal, Leandro Beltrachini, Christian Bénar, Giacomo Bertazzoli, Suyash Bhogawar, Ross Blair, Marta Bortoletto, Mathieu Boudreau, Teon L Brooks, Vince D. Calhoun, Filippo Maria Castelli, Patricia Clement, Alexander L. Cohen, Julien Cohen‐Adad, Sasha D’Ambrosio, Gilles de Hollander, María de la Iglesia-Vayá, Alejandro de la Vega, Arnaud Delorme, Orrin Devinsky, Dejan Draschkow, Eugene Duff, Elizabeth DuPré, Eric Earl, Oscar Estéban, Franklin Feingold, Guillaume Flandin, Anthony Galassi, Giuseppe Gallitto, Melanie Ganz, Rémi Gau, James Gholam, Satrajit Ghosh, Alessio Giacomel, Ashley Gillman, Padraig Gleeson, Alexandre Gramfort, Samuel Guay, Giacomo Guidali, Yaroslav O. Halchenko, Daniel A. Handwerker, Nell Hardcastle, Peer Herholz, Dora Hermes",2024,"nm000110,nm000111,nm000113,nm000125,nm000151,nm000152,nm000188,nm000201,nm000212,nm000216,nm000221,nm000244,nm000247,nm000336,on002778,on004100,on005261,on005406,on005624,on005857,on006126,on007262,on007895",23
